UF,AL
Cidade,POCO DAS TRINCHEIRAS
Nome Posto,POCO DAS TRINCHEIRAS
Latitude,-9.216666666666667
Longitude,-37.28333333333333
Codigo,937004
Qtd. Anos,70
Ano,Maxima
1920,48.5
1921,76.8
1922,60.3
1923,70.7
1924,42.1
1925,36
1926,75.3
1927,67.9
1928,53.2
1929,65.3
1930,65.4
1931,42.2
1932,43.5
1933,55.6
1934,65.3
1935,58.4
1936,65
1937,45.8
1938,36.2
1939,50.9
1940,76.2
1941,65
1942,36.2
1943,61.2
1944,63
1945,58.8
1946,42.6
1947,104.4
1948,85.8
1949,132.4
1950,25.6
1951,42.1
1952,35.9
1953,80.3
1954,94.6
1955,52.3
1956,68.5
1957,52.2
1958,40.6
1959,60.1
1960,42.3
1961,38.8
1962,40.8
1963,101.1
1964,93.8
1965,45.5
1966,42.8
1967,88.6
1968,74.9
1969,109.4
1970,30.2
1971,70.3
1972,87.9
1973,103.8
1974,62.1
1975,63.1
1976,92.2
1977,56.8
1978,45.1
1979,105.2
1980,69.2
1981,75.2
1982,74.6
1983,76.2
1984,68.4
1985,110.1
1986,65.4
1987,58.6
1988,81.8
1989,38.8
