UF,AL
Cidade,UNIAO DOS PALMARES
Nome Posto,UNIAO DOS PALMARES
Latitude,-9.166666666666666
Longitude,-36.05
Codigo,936053
Qtd. Anos,102
Ano,Maxima
1912,29.5
1913,40.5
1914,65
1915,36.9
1916,49.5
1917,59.7
1918,66.3
1919,66.4
1920,24.2
1921,57.2
1922,51.7
1923,35.4
1924,53.3
1925,34.6
1926,14.6
1927,56.4
1928,58.2
1929,46.2
1930,37.2
1931,44
1938,75.6
1939,139.8
1940,87.9
1941,39.5
1942,47.8
1943,91.2
1944,242.6
1945,91.8
1946,36
1947,83
1948,59.5
1949,166
1950,36.1
1951,112.3
1952,21.1
1953,41.3
1954,66.2
1955,100
1956,73.8
1957,64
1958,68.7
1959,56.4
1960,97.4
1961,79.8
1962,68.5
1963,96
1964,64.6
1965,43
1966,61.3
1967,50
1968,40
1969,71
1970,45
1971,81
1972,65
1973,95
1974,45
1975,96.2
1976,59
1977,129.1
1978,123.6
1979,94
1980,56
1981,57.7
1982,81.3
1983,27.9
1984,137.5
1985,50.2
1986,108.3
1987,58.2
1988,85.4
1989,95
1990,65.8
1991,120.6
1992,58.5
1993,304.3
1994,64.3
1995,46
1996,68.8
1997,110.9
1998,65
1999,81
2000,137.4
2001,83
2002,59.8
2003,84.9
2004,80.5
2005,59.2
2006,46.6
2007,41.6
2008,61.9
2009,79.3
2010,65
2011,79.4
2012,42.8
2013,70.5
2014,63.7
2015,42.2
2016,41.5
2017,44.5
2018,42.8
2019,43.3
