UF,AP
Cidade,CALCOENE
Nome Posto,CUNANI
Latitude,1.3016666666666667
Longitude,-51.36138888888889
Codigo,8251001
Qtd. Anos,36
Ano,Maxima
1984,93.6
1985,162.3
1986,120
1987,79.4
1988,108.7
1989,177.1
1990,93.4
1991,99.7
1992,48.1
1993,60
1994,9.9
1995,105.6
1996,124.5
1997,59.9
1998,64.2
1999,71.6
2000,79.2
2001,75.3
2002,68.2
2003,48.4
2004,67.8
2005,96
2006,96.1
2007,70.2
2008,101.7
2009,117.9
2010,140.3
2011,87
2012,51.8
2013,91.1
2014,98.6
2015,119.1
2016,112
2017,93.9
2018,96.3
2019,87.9
