UF,AP
Cidade,MAZAGAO
Nome Posto,VILA DO MARACA
Latitude,-0.18055555555555555
Longitude,-51.73583333333333
Codigo,51004
Qtd. Anos,23
Ano,Maxima
1997,39.4
1998,77.3
1999,50.4
2000,126.3
2001,46.5
2002,96.9
2003,63.8
2004,88.1
2005,51.7
2006,39.6
2007,107.9
2008,50.7
2009,108
2010,93.3
2011,126.3
2012,48.6
2013,128
2014,131.2
2015,87.7
2016,130.7
2017,79.4
2018,70
2019,68.1
