UF,AP
Cidade,MACAPA
Nome Posto,BAILIQUE (VILA PROGRESSO)
Latitude,-0.8730555555555556
Longitude,-50.05222222222222
Codigo,8050001
Qtd. Anos,21
Ano,Maxima
1999,38
2000,100.9
2001,213.5
2002,184.5
2003,80.7
2004,105.4
2005,68
2006,147
2007,125.1
2008,96.1
2009,80.5
2010,136.6
2011,134.6
2012,99.7
2013,131.8
2014,178.6
2015,119.1
2016,120.9
2017,121
2018,131.1
2019,153.3
