UF,AP
Cidade,OIAPOQUE
Nome Posto,OIAPOQUE
Latitude,2.156388888888889
Longitude,-51.837500000000006
Codigo,8351002
Qtd. Anos,38
Ano,Maxima
1981,75
1982,105.8
1983,96.4
1984,84.8
1985,80.8
1986,80.2
1987,131.3
1988,157.5
1989,85.5
1990,87
1992,137.7
1993,65
1994,105.5
1995,117.3
1996,103.3
1997,112
1998,108.6
1999,109.8
2000,151.4
2001,108.7
2002,90
2003,74.4
2004,111.7
2005,120.6
2006,117.6
2007,117.9
2008,79.9
2009,118.1
2010,138.1
2011,116.1
2012,99.3
2013,104
2014,96
2015,102.5
2016,179.7
2017,118.4
2018,122.4
2019,77.1
