UF,AP
Cidade,OIAPOQUE
Nome Posto,PONTE CASSIPORE
Latitude,1.0422222222222222
Longitude,-51.42305555555555
Codigo,8251004
Qtd. Anos,23
Ano,Maxima
1997,28.9
1998,84.4
1999,128.6
2000,159
2001,125.5
2002,98
2003,102.5
2004,100.8
2005,141.7
2006,95.6
2007,96.1
2008,126.6
2009,210.9
2010,147.5
2011,129.7
2012,68.6
2013,76.9
2014,80.7
2015,163.8
2016,138.7
2017,162.4
2018,137.2
2019,88.1
