UF,AP
Cidade,MAZAGAO
Nome Posto,SAO PEDRO
Latitude,-0.45666666666666667
Longitude,-52.0775
Codigo,52003
Qtd. Anos,23
Ano,Maxima
1997,41.8
1998,54.9
1999,91.3
2000,111.1
2001,93.8
2002,63.5
2003,65.2
2004,113.6
2005,85.3
2006,88.5
2007,122
2008,87.8
2009,85.5
2010,164.5
2011,76.5
2012,85.5
2013,67.8
2014,74.5
2015,68.5
2016,71.5
2017,74
2018,87.3
2019,123.5
