UF,AP
Cidade,PORTO GRANDE
Nome Posto,CUPIXI
Latitude,-0.615
Longitude,-51.765
Codigo,8051012
Qtd. Anos,30
Ano,Maxima
1989,10
1990,38.5
1992,56.7
1993,48.3
1994,24.1
1995,84.1
1996,325.9
1997,60.5
1998,71.3
1999,56.5
2000,52.9
2001,43.2
2002,98.6
2003,78.1
2004,85
2005,71
2006,100.7
2007,85.2
2008,82.2
2009,87.5
2010,57
2011,72.2
2012,76.1
2013,66.4
2014,52.8
2015,87.5
2016,87.8
2017,65.4
2018,56.8
2019,67.7
