UF,AP
Cidade,MAZAGAO
Nome Posto,NAVIO
Latitude,-0.39916666666666667
Longitude,-51.42027777777778
Codigo,51002
Qtd. Anos,39
Ano,Maxima
1980,23.4
1981,73.2
1982,83
1983,75
1984,76
1985,71.8
1986,140.1
1987,84.2
1988,78.3
1989,117.2
1990,97.5
1992,75.9
1993,144
1994,58
1995,73
1996,38.2
1997,38.2
1998,37.6
1999,36.7
2000,35.4
2001,35.1
2002,34.5
2003,52.4
2004,134.2
2005,109.3
2006,122.4
2007,61
2008,77.2
2009,164.4
2010,71.4
2011,56.6
2012,34.8
2013,43.4
2014,63.9
2015,56.9
2016,42.3
2017,47.5
2018,68.5
2019,76.9
