UF,AP
Cidade,CALCOENE
Nome Posto,CALCOENE
Latitude,1.5044444444444445
Longitude,-50.950833333333335
Codigo,8250002
Qtd. Anos,44
Ano,Maxima
1975,111
1976,156.8
1977,128.2
1978,142.8
1979,97.2
1980,107.4
1981,121.8
1982,133.2
1983,145.4
1984,119
1985,127.3
1986,116.6
1987,132.6
1988,143.2
1989,158.6
1990,96.8
1991,50.4
1993,90.2
1994,30.4
1995,96.4
1996,163.8
1997,153.4
1998,124.2
1999,207.9
2000,220.4
2001,148.4
2002,177.1
2003,185.2
2004,132.5
2005,136.8
2006,159.7
2007,160.2
2008,192.2
2009,178.7
2010,121.6
2011,141.8
2012,175.5
2013,194.7
2014,124.4
2015,189.3
2016,145.3
2017,261.3
2018,126.4
2019,96.3
