UF,AP
Cidade,MACAPA
Nome Posto,MACAPA
Latitude,-0.045
Longitude,-51.11
Codigo,8051002
Qtd. Anos,53
Ano,Maxima
1967,26.4
1968,115
1969,68.4
1970,56.3
1971,90.4
1972,99.4
1973,166.4
1974,175
1975,93.8
1976,78.2
1977,116
1978,99.3
1979,92.4
1980,76.7
1981,103.7
1982,79.3
1983,90.6
1984,98.3
1985,83.6
1986,125
1987,71.1
1988,130.8
1989,110.7
1990,130.3
1991,108.4
1992,93
1993,83
1994,102.4
1995,92.8
1996,113.8
1997,98.3
1998,132.1
1999,105.2
2000,104.6
2001,68.6
2002,99.4
2003,93.6
2004,215.8
2005,96.1
2006,171.3
2007,120.4
2008,140.2
2009,108.8
2010,90.6
2011,120.4
2012,129.5
2013,138.4
2014,91.6
2015,138.8
2016,85.2
2017,88.8
2018,95.8
2019,95.8
