UF,AP
Cidade,MACAPA
Nome Posto,PORTO ARIRI
Latitude,-0.3030555555555555
Longitude,-51.126666666666665
Codigo,8051010
Qtd. Anos,36
Ano,Maxima
1984,83.8
1985,79.1
1986,55.6
1987,77.9
1988,142.4
1989,133.3
1990,62.5
1991,160.3
1992,74.5
1993,52.7
1994,72.3
1995,82.9
1996,98.8
1997,66.7
1998,91.1
1999,95.8
2000,74.7
2001,73.7
2002,64.1
2003,62.4
2004,48.9
2005,57.5
2006,63.5
2007,77.5
2008,88.3
2009,144.9
2010,62.9
2011,59.3
2012,53.5
2013,71.9
2014,67.5
2015,43.5
2016,87.5
2017,59.7
2018,85.9
2019,61.9
