UF,AP
Cidade,CALCOENE
Nome Posto,LOURENCO
Latitude,1.6916666666666667
Longitude,-51.63805555555555
Codigo,8251003
Qtd. Anos,30
Ano,Maxima
1990,60.9
1991,77
1992,104.2
1993,89.3
1994,66.5
1995,84.3
1996,73
1997,76.9
1998,58
1999,64.8
2000,92.7
2001,84.4
2002,67.6
2003,33.2
2004,56.1
2005,64.5
2006,63.6
2007,60
2008,99.4
2009,79.4
2010,71
2011,90.4
2012,70
2013,59.9
2014,102.6
2015,64.8
2016,76.6
2017,88.7
2018,124.8
2019,76
