UF,AP
Cidade,TARTARUGALZINHO
Nome Posto,ITAUBAL DO AMAPA
Latitude,0.4197222222222222
Longitude,-50.90277777777778
Codigo,8151000
Qtd. Anos,36
Ano,Maxima
1984,101.6
1985,138.1
1986,142.7
1987,127.6
1988,120.6
1989,111.7
1990,64.2
1991,97.2
1992,98.6
1993,53.5
1994,83.5
1995,106.7
1996,101.3
1997,105.7
1998,110
1999,146.9
2000,125.1
2001,137.5
2002,128.7
2003,96.5
2004,111.3
2005,108.5
2006,85.8
2007,144.7
2008,92.1
2009,156.3
2010,134.2
2011,83.2
2012,110
2013,82.3
2014,98.2
2015,30.4
2016,62.1
2017,60.3
2018,36.7
2019,47.2
