UF,AP
Cidade,SERRA DO NAVIO
Nome Posto,SERRA DO NAVIO
Latitude,-0.8802777777777778
Longitude,-52.00944444444445
Codigo,8052000
Qtd. Anos,47
Ano,Maxima
1972,82
1973,80
1974,68.1
1975,64.7
1976,64.6
1977,74.7
1978,74
1979,57
1980,64.9
1981,73.2
1982,67.5
1983,55.3
1984,55.3
1985,59.4
1986,59.3
1987,87.3
1988,76.7
1989,98.2
1990,72.9
1991,70.3
1992,96.1
1994,40
1995,69.6
1996,68.8
1997,91
1998,60
1999,62
2000,100
2001,41
2002,57.2
2003,53.8
2004,99
2005,72
2006,59.2
2007,60.5
2008,70
2009,110
2010,53.7
2011,63.6
2012,94.7
2013,65.7
2014,68.7
2015,114.5
2016,90
2017,115
2018,70.2
2019,55.6
