UF,AP
Cidade,AMAPA
Nome Posto,AMAPA
Latitude,1.9452777777777777
Longitude,-50.78805555555555
Codigo,8250003
Qtd. Anos,40
Ano,Maxima
1978,83
1979,85.2
1980,65.4
1981,75
1982,136.6
1983,80.3
1984,127.3
1985,204.1
1986,143.4
1987,118.6
1988,182.7
1989,169.6
1991,35.7
1993,55.9
1994,81.3
1995,36.2
1996,120.4
1997,99.6
1998,147.3
1999,156.7
2000,118.5
2001,100.6
2002,184.5
2003,142.4
2004,111.9
2005,114.4
2006,151.9
2007,139.1
2008,192.7
2009,230.7
2010,128.6
2011,192.8
2012,204.7
2013,214.5
2014,188.9
2015,286.6
2016,119.7
2017,163.1
2018,146.1
2019,294.3
