UF,PI
Cidade,SANTA CRUZ DO PIAUI
Nome Posto,SANTA CRUZ DO PIAUI II
Latitude,-7.181111111111111
Longitude,-41.76416666666667
Codigo,741009
Qtd. Anos,58
Ano,Maxima
1962,64
1963,92.4
1964,90.1
1965,57
1966,97
1967,60.2
1968,81.3
1969,80.4
1970,41.8
1971,88.9
1972,118.6
1973,82.4
1974,62.4
1975,82.4
1976,118.8
1977,85
1978,80.8
1979,113.8
1980,137.2
1981,72.2
1982,80.6
1983,69
1984,80.2
1985,78.7
1986,77.3
1987,156.8
1988,52.3
1989,87.5
1990,130
1991,80
1992,157.2
1993,49
1994,81.4
1995,92
1996,61.2
1997,111.3
1998,70.2
1999,75
2000,111
2001,98.1
2002,52.9
2003,62
2004,84
2005,84.5
2006,97
2007,38.5
2008,85.6
2009,142.5
2010,102
2011,81.4
2012,73.4
2013,29.3
2014,38
2015,116.3
2016,122.8
2017,87.8
2018,79.2
2019,108
