UF,PI
Cidade,PICOS
Nome Posto,PICOS
Latitude,-7.083333333333333
Longitude,-41.46666666666667
Codigo,741006
Qtd. Anos,71
Ano,Maxima
1910,67.4
1911,63.5
1912,63.2
1913,100.4
1914,55.4
1915,96.3
1916,61.5
1917,96.4
1918,86.4
1919,71.7
1920,107.5
1921,81.2
1922,68.3
1923,75.2
1924,85.3
1925,79.3
1926,114.3
1927,53.4
1928,86.2
1929,64.5
1930,64.3
1931,82.5
1932,56.7
1933,34.6
1934,48.8
1937,33.2
1938,80
1939,42
1941,90
1942,85
1943,50.7
1945,8.5
1948,3
1950,55
1952,70
1953,40
1954,86
1955,90
1959,45
1960,112
1961,80
1962,150
1963,70
1964,70
1965,80
1966,54.1
1967,56.8
1968,65.6
1969,84.4
1970,53.4
1971,106
1972,54.4
1973,83.2
1974,88
1976,88.5
1977,125.3
1978,52.9
1979,34.8
1983,24.8
1984,52.4
1992,82.4
1993,75.3
1994,133.8
1995,48.1
1996,27.2
1997,65
1998,64.4
1999,86.6
2000,70.4
2001,43.4
2002,60.3
