UF,PI
Cidade,PIRACURUCA
Nome Posto,PIRACURUCA
Latitude,-3.9333333333333336
Longitude,-41.71666666666667
Codigo,341009
Qtd. Anos,97
Ano,Maxima
1912,41.5
1913,71.5
1914,63
1915,57.5
1916,60.3
1917,59
1918,65
1919,66.8
1920,66.5
1921,65
1922,63.2
1923,69
1924,74.8
1925,68.5
1926,92
1927,75.2
1928,73.6
1929,78.4
1930,66
1938,86.6
1939,82.4
1940,86.2
1941,81
1942,45
1943,71
1944,97.3
1945,145
1946,120
1947,84
1948,116
1949,109
1950,156
1951,116.7
1952,78
1953,144
1954,78
1955,95.2
1956,66
1957,66
1958,40.2
1959,156
1960,26.5
1962,51.2
1963,61.3
1964,101.2
1965,75.2
1966,91.3
1967,91.1
1968,71.7
1969,69.8
1970,75
1971,87.3
1972,101
1973,89.3
1974,176
1975,137
1976,46
1977,66
1978,115.2
1979,57
1980,75
1981,70.8
1982,70.3
1983,68
1984,95
1985,92
1986,71
1987,81
1988,112
1989,75
1990,90
1991,69
1992,45
1995,34
1996,66
1997,74
1998,75
1999,56
2000,79
2001,107
2002,55
2004,20
2005,71.4
2006,84.9
2007,68.2
2008,141.6
2009,107.2
2010,83.7
2011,79.8
2012,50
2013,62.3
2014,68.2
2015,109.2
2016,51.2
2017,61.2
2018,107.5
2019,58.8
