UF,PI
Cidade,UNIAO
Nome Posto,UNIAO
Latitude,-4.583333333333333
Longitude,-42.86666666666667
Codigo,442011
Qtd. Anos,77
Ano,Maxima
1914,58
1915,36.9
1916,25.2
1926,41.9
1929,51.8
1930,48
1931,25.9
1932,58.4
1933,48.3
1934,28.7
1935,63.5
1936,33.8
1937,58.7
1938,97.8
1939,85
1940,75
1941,66
1942,67.5
1943,52.9
1944,65
1945,65
1946,57
1947,65
1948,63.7
1949,62.5
1950,63.5
1951,62.2
1952,63.5
1953,76.5
1954,63.5
1955,65
1956,63.5
1957,62.5
1958,62.5
1959,61
1960,100
1962,97
1963,159.1
1964,82
1965,170
1966,95.2
1967,80.3
1968,88.9
1969,94.7
1970,89.8
1971,94
1972,132.6
1973,81.3
1974,95.2
1975,115.5
1976,102
1977,63.7
1978,98.6
1979,110.4
1980,74.9
1981,87.1
1982,107.9
1983,70.8
1984,94.4
1985,102.3
1986,77.8
1987,70.2
1988,99.5
1989,66.9
1990,95.4
1991,2.8
1992,75
1993,125
1994,110
1995,118.8
1996,91.5
1997,83.6
1998,72.1
1999,85
2000,95.5
2001,101
2002,65
