UF,PI
Cidade,SAO FRANCISCO DO PIAUI
Nome Posto,SAO FRANCISCO DO PIAUI
Latitude,-7.246388888888889
Longitude,-42.54194444444444
Codigo,742011
Qtd. Anos,38
Ano,Maxima
1982,65
1983,145.6
1984,52.3
1985,87.8
1986,54.3
1987,115.8
1988,67.1
1989,122.8
1990,96
1991,98
1992,55.6
1993,88.9
1994,58.6
1995,109
1996,63.4
1997,72.6
1998,163.2
1999,68.8
2000,54.3
2001,48.6
2002,129.4
2003,115.9
2004,92.2
2005,85.8
2006,88.4
2007,85.3
2008,96.5
2009,98.6
2010,71.4
2011,94.8
2012,58.7
2013,66.8
2014,125.7
2015,34.3
2016,112.4
2017,69.1
2018,124.5
2019,56.4
