UF,PI
Cidade,ALTO LONGA
Nome Posto,ALTO LONGA
Latitude,-5.266666666666667
Longitude,-42.21666666666667
Codigo,542002
Qtd. Anos,51
Ano,Maxima
1912,26.5
1913,65
1914,62
1915,30.7
1916,73.9
1917,82.9
1918,69
1919,73
1920,72.3
1921,65.5
1922,63.6
1923,78.5
1926,52.3
1927,87
1928,48.2
1962,65.6
1963,60.4
1964,150
1965,70.1
1966,31.5
1967,77.2
1968,53.2
1969,62.1
1970,67.5
1971,110
1972,125
1973,90.1
1974,101
1975,80.1
1976,105
1977,50.1
1978,39
1979,51.8
1980,59.2
1981,110.3
1983,3.1
1984,28
1985,96
1986,120
1987,74
1988,82
1989,78
1992,105
1993,45
1994,90
1995,110
1996,130
1997,85
1998,45
2000,130
2001,80
