UF,PI
Cidade,PAES LANDIM
Nome Posto,PAES LANDIM
Latitude,-7.733333333333333
Longitude,-42.25
Codigo,742004
Qtd. Anos,40
Ano,Maxima
1962,82
1963,87.1
1964,61
1965,70.2
1966,123.5
1967,91.6
1968,98.1
1969,90.1
1970,52.2
1971,57.4
1972,87.2
1973,51.3
1974,93.2
1975,80
1976,91.2
1977,110.1
1978,96.5
1979,94
1980,101.6
1981,87.6
1982,50
1983,95
1984,59.5
1985,92.2
1986,85.6
1987,43.6
1988,87
1989,100
1990,74.2
1991,36.4
1992,88
1993,52
1994,84.2
1995,165
1996,65.3
1997,55
1998,52.3
1999,91
2000,105
2001,50.3
