UF,PI
Cidade,JERUMENHA
Nome Posto,BARRA DO LANCE
Latitude,-7.245277777777778
Longitude,-43.644444444444446
Codigo,743009
Qtd. Anos,38
Ano,Maxima
1982,40.5
1983,80.2
1984,80.2
1985,109.4
1986,111.6
1987,82
1988,82.6
1989,97.7
1990,83
1991,85.5
1992,95.6
1993,58.2
1994,97.7
1995,95.5
1996,61.1
1997,100.5
1998,71.7
1999,115.6
2000,90.1
2001,56.6
2002,101.2
2003,99.7
2004,92.3
2005,55
2006,101.3
2007,110
2008,99.8
2009,217.1
2010,98.5
2011,132.8
2012,73.3
2013,87.7
2014,82.6
2015,75.4
2016,55.4
2017,97.7
2018,105.4
2019,108
