UF,PI
Cidade,CASTELO DO PIAUI
Nome Posto,FAZENDA BOA ESPERANCA
Latitude,-5.224722222222223
Longitude,-41.73694444444445
Codigo,541002
Qtd. Anos,53
Ano,Maxima
1967,80.5
1968,53.5
1969,137.6
1970,107.3
1971,119.9
1972,50.2
1973,52.6
1974,94.8
1975,87.4
1976,78.4
1977,91.6
1978,72.4
1979,82.8
1980,110.4
1981,71.6
1982,79.5
1983,76.2
1984,95.2
1985,96.4
1986,143
1987,72.2
1988,82.2
1989,57.8
1990,67.8
1991,74
1992,74.8
1993,88.4
1994,100.6
1995,50.8
1996,98.4
1997,90.2
1998,98.2
1999,83.4
2000,120.6
2001,99.7
2002,77.4
2003,124.5
2004,68.8
2005,90.6
2006,98.9
2007,95.2
2008,89.6
2009,107.5
2010,98.4
2011,69.7
2012,96.8
2013,55.1
2014,101.4
2015,52.3
2016,87.4
2017,64.8
2018,108.8
2019,84.9
