UF,PI
Cidade,CAMPO MAIOR
Nome Posto,CAMPO MAIOR
Latitude,-4.816666666666666
Longitude,-42.18333333333333
Codigo,442004
Qtd. Anos,85
Ano,Maxima
1912,55
1913,68.8
1914,89
1915,68.5
1916,79.9
1917,69.2
1918,62.3
1919,69.8
1920,72.4
1921,66.6
1922,74
1923,65.9
1924,79
1925,38
1926,74.6
1927,73.5
1928,69.6
1929,71.7
1930,67
1931,73.1
1932,69.3
1933,67.1
1934,84.5
1936,70.9
1937,68.3
1938,66.6
1939,77.4
1940,72
1941,75.6
1942,62.3
1943,69.5
1944,68.2
1945,70.9
1946,63.7
1947,70.2
1948,55.9
1949,61.3
1950,65.4
1951,66.5
1952,60.5
1953,52.4
1954,64.7
1955,67.5
1956,65.9
1957,63.5
1958,66.5
1959,67.4
1960,132.4
1961,78.6
1962,48.6
1963,81
1964,108.1
1965,133
1966,115.4
1967,129.4
1968,153.7
1969,88.6
1970,62.9
1971,72
1972,70
1973,100.2
1974,102.5
1975,105.5
1976,76.1
1977,161.7
1978,135.3
1979,98
1980,83.8
1981,77.4
1982,92
1983,54.2
1984,90.6
1985,131.6
1991,147.8
1992,86.5
1993,52.2
1994,129.4
1995,107
1996,88
1997,57.4
1998,111.4
1999,81.2
2000,74.5
2001,110
2002,98
