UF,PI
Cidade,SIMPLICIO MENDES
Nome Posto,SUPLICIO MENDES
Latitude,-7.85
Longitude,-41.916666666666664
Codigo,741010
Qtd. Anos,79
Ano,Maxima
1914,47.7
1915,70.4
1916,76
1917,65.2
1918,50.4
1919,73.6
1920,100.1
1921,65.7
1922,96.9
1923,66.2
1924,66.9
1925,45.8
1926,70.6
1927,38.4
1928,59.7
1929,135.2
1930,71
1938,65
1939,39.3
1940,65.2
1941,65.9
1942,88.4
1943,85
1944,86.3
1945,64.3
1946,54
1947,77.1
1948,79.9
1949,79.5
1950,67.2
1951,39
1952,51.1
1953,79
1954,65.5
1955,57.9
1956,46.2
1957,117.1
1958,56.8
1959,72.9
1960,65.3
1962,87.8
1963,41.3
1964,48
1965,53.2
1966,65.1
1967,72.8
1968,127.6
1969,90.2
1970,51.2
1971,82
1972,68.4
1973,135
1974,85.3
1975,50
1976,119
1977,88
1978,75
1979,95
1980,85
1981,84
1982,117
1983,114
1984,80
1985,67
1986,73
1987,160
1988,150
1989,116
1992,90.5
1993,40
1994,52
1995,130
1996,105
1997,80
1998,60.5
1999,99
2000,65
2001,55.5
2002,32
