UF,PI
Cidade,PALMEIRAIS
Nome Posto,PALMEIRAIS
Latitude,-5.975555555555555
Longitude,-43.06166666666666
Codigo,543010
Qtd. Anos,58
Ano,Maxima
1962,92.6
1963,83
1964,75.8
1965,117.2
1966,90
1967,108.2
1968,151.8
1969,62.1
1970,132.4
1971,71
1972,66.5
1973,57.7
1974,112.3
1975,80.2
1976,69.8
1977,101.1
1978,107.8
1979,116.8
1980,88.6
1981,66.6
1982,110.7
1983,73.3
1984,60
1985,87.2
1986,77.4
1987,90.2
1988,76.4
1989,97.8
1990,68.4
1991,85.2
1992,126.6
1993,70.2
1994,104.2
1995,103
1996,66.8
1997,127
1998,79.3
1999,111
2000,80
2001,69
2002,61.3
2003,98.3
2004,101
2005,60
2006,84
2007,92.7
2008,63
2009,95.2
2010,111
2011,97.7
2012,68
2013,57
2014,61.3
2015,67.7
2016,127.8
2017,72.3
2018,72.5
2019,29
