UF,PI
Cidade,FLORIANO
Nome Posto,FLORIANO
Latitude,-6.766666666666667
Longitude,-43.016666666666666
Codigo,643006
Qtd. Anos,45
Ano,Maxima
1912,67.5
1913,75.7
1914,67.5
1915,64.2
1916,72.1
1919,62.5
1920,84
1929,102.5
1931,70.4
1932,73.7
1933,75.6
1934,65.1
1935,56.4
1936,58.8
1937,37
1938,22.9
1939,52.6
1940,55.5
1941,43.7
1942,68.8
1943,52.3
1948,48.5
1949,50.5
1950,30.2
1951,30.1
1952,47.2
1953,44.5
1954,11.1
1962,42.6
1963,48.9
1964,55.7
1967,40.5
1973,43.1
1975,100.2
1976,56.5
1977,117.2
1978,79.5
1982,50.2
1983,78.4
1984,65
1985,63.7
1986,76.9
1987,107.4
1988,99
1989,44.8
