UF,PI
Cidade,ITAUEIRA
Nome Posto,ITAUEIRA
Latitude,-7.6
Longitude,-43.03333333333333
Codigo,743002
Qtd. Anos,41
Ano,Maxima
1962,58.3
1963,60.1
1964,69.6
1965,96.4
1966,76.8
1967,83.2
1968,73.2
1969,65
1970,100.1
1971,175.4
1972,69.1
1973,87.3
1974,83.9
1975,56.7
1976,68.4
1977,70.3
1978,87.3
1979,70.2
1980,77.8
1981,165.3
1982,75.1
1983,50.2
1984,103.8
1985,106.3
1986,53.1
1987,71.2
1988,75.8
1989,75.7
1990,63.8
1991,108
1992,70
1993,90
1994,70
1995,47
1996,90
1997,97
1998,70
1999,82
2000,67
2001,95
2002,90
