UF,PI
Cidade,TERESINA
Nome Posto,TERESINA - CHESF
Latitude,-5.087777777777777
Longitude,-42.799166666666665
Codigo,542012
Qtd. Anos,106
Ano,Maxima
1913,55.5
1914,67.6
1915,63.2
1916,78
1917,84.7
1918,98.4
1919,80
1920,122
1921,70
1922,93
1923,78
1924,95
1925,60.2
1926,70
1927,99.9
1928,67.4
1929,69.5
1930,67.3
1931,68.5
1932,62.7
1933,76.7
1934,58.7
1935,100
1936,77.6
1937,52
1938,54.9
1939,78
1940,57.8
1941,52.8
1942,54.1
1943,53
1944,56.1
1945,53
1946,31.4
1947,156.2
1948,187.5
1949,121.5
1950,240
1951,90
1952,135
1953,70
1954,63
1955,57
1956,58
1957,49
1958,24.5
1959,67
1960,100
1962,75.5
1963,80
1964,79.5
1965,126.4
1966,97.2
1967,151.8
1968,145.2
1969,82.1
1970,136.6
1971,100.8
1972,96
1973,83.8
1974,79.5
1975,81.2
1976,47
1977,67.5
1978,105.4
1979,167.1
1980,76.1
1981,80.8
1982,136.4
1983,101.5
1984,87.8
1985,103.8
1986,119.8
1987,127.4
1988,67.6
1989,126.4
1990,29
1991,111
1992,68
1993,75.4
1994,94.8
1995,160.5
1996,95.4
1997,88.4
1998,78.8
1999,124
2000,75.5
2001,144.8
2002,105.7
2003,63.2
2004,119.9
2005,106.5
2006,73.3
2007,95.4
2008,94.4
2009,97.3
2010,69
2011,80.5
2012,50.1
2013,69.6
2014,84.6
2015,86.2
2016,56
2017,102.1
2018,91.9
2019,80.7
