UF,PI
Cidade,JOSE DE FREITAS
Nome Posto,JOSE DE FREITAS
Latitude,-4.75
Longitude,-42.583333333333336
Codigo,442008
Qtd. Anos,91
Ano,Maxima
1912,54.1
1913,68
1914,64.2
1915,68.2
1916,80
1917,86.8
1918,71.2
1919,68.2
1920,65.2
1921,64.3
1922,95.3
1923,79
1924,79
1925,72.1
1926,90.2
1927,69
1928,76.2
1929,126.7
1930,70.2
1931,84
1932,75
1933,62.2
1934,91.5
1935,93
1936,82.5
1937,55.5
1938,86
1939,88.2
1940,85.1
1941,94.1
1942,70.1
1943,88.1
1944,65.6
1945,90
1946,87.2
1947,121.5
1948,70.8
1949,68.6
1950,88.5
1951,78
1952,102.3
1953,64
1954,62.3
1955,62.2
1956,63.7
1957,67.2
1958,44.1
1959,61
1960,100
1961,87
1962,69
1963,84
1964,74
1965,103.2
1966,77.2
1967,97.2
1968,80.2
1969,80.5
1970,94.2
1971,91.3
1972,108.2
1973,75.1
1974,88.4
1975,79.2
1976,75.1
1977,81.2
1978,65.1
1979,107.2
1980,65.4
1981,72.9
1982,92.5
1983,81.4
1984,92.1
1985,121
1986,87.5
1987,92.9
1988,114.4
1989,74.2
1990,138.2
1991,128
1992,160
1993,82
1994,90
1995,82
1996,130
1997,97
1998,130
1999,69
2000,70
2001,77.5
2002,74
