UF,PI
Cidade,LUIS CORREIA
Nome Posto,LUIZ CORREIA
Latitude,-2.8833333333333333
Longitude,-41.666666666666664
Codigo,241000
Qtd. Anos,86
Ano,Maxima
1912,6.5
1913,68.6
1914,66.4
1915,48.5
1916,71.1
1917,70.4
1918,67.1
1919,67.1
1920,117.8
1921,80.4
1922,100.3
1923,66.8
1924,110.2
1925,64.6
1926,93.6
1927,64.8
1928,65.4
1929,70.6
1930,90.4
1931,65.9
1932,80.4
1933,91.4
1934,96.8
1935,112.5
1936,68.4
1937,75.1
1938,94.8
1939,98.3
1940,75
1941,86.8
1942,76.2
1943,80.7
1944,106.2
1945,66.5
1946,49.2
1947,41.6
1948,41
1949,54.9
1950,40.9
1951,63.3
1952,70.8
1953,146.8
1954,64
1955,119
1956,80.3
1959,60
1960,76.2
1961,158.8
1962,199.9
1963,198.2
1964,235.2
1965,102.4
1966,94.3
1967,130.1
1968,82.3
1969,80.4
1970,73.5
1971,305.6
1972,105.4
1973,82.1
1974,192.1
1975,80.8
1976,40.8
1977,62.3
1978,80.6
1979,186.2
1980,120.2
1981,104.2
1982,142.6
1983,92.4
1984,89.5
1985,134
1986,121
1987,58
1988,65
1989,134
1992,122.5
1993,60
1994,80
1995,95
1996,95
1997,102.5
1998,45
1999,75
2000,120
2001,105
