UF,PI
Cidade,AMARANTE
Nome Posto,AMARANTE
Latitude,-6.25
Longitude,-42.85
Codigo,642001
Qtd. Anos,88
Ano,Maxima
1912,40
1913,66.6
1914,67.2
1915,42.3
1916,69.4
1917,70.2
1918,60.5
1919,73.5
1920,88
1921,89.5
1922,55.1
1923,66.5
1924,72.9
1925,110.5
1926,99.9
1927,45.6
1928,63.2
1929,74.9
1930,64.3
1931,64
1932,100.5
1933,122
1934,126.3
1935,114.3
1936,124.4
1938,126.4
1939,142.5
1940,169.6
1941,98.2
1942,152.2
1943,85.2
1944,95.2
1945,66.1
1946,67
1947,80.1
1948,63
1949,67
1950,64
1951,63
1952,64.3
1953,70
1954,62
1955,77.9
1956,54
1957,85
1958,88.2
1959,69
1960,116.2
1961,115
1962,92.5
1963,158
1964,77.5
1965,120.4
1966,102.2
1967,70.9
1968,111.7
1969,77.2
1970,101.7
1971,67.2
1972,105
1973,88.9
1974,101.5
1975,101.2
1976,50
1977,82.4
1978,117.2
1979,116.7
1980,76
1981,105
1982,59.6
1983,75
1984,60
1985,114.4
1986,76.7
1987,79.4
1988,88.2
1989,89.8
1992,98
1993,50
1994,153
1995,60
1996,80
1997,80
1998,120
1999,80
2000,80
2001,110
2002,75
