UF,PI
Cidade,MIGUEL ALVES
Nome Posto,MIGUEL ALVES
Latitude,-4.170833333333333
Longitude,-42.891666666666666
Codigo,442010
Qtd. Anos,58
Ano,Maxima
1962,45.8
1963,120.8
1964,78.4
1965,70.1
1966,98.5
1967,113.9
1968,93.7
1969,69.3
1970,78.3
1971,72.8
1972,91.3
1973,107.9
1974,103.4
1975,125.4
1976,85.2
1977,132.6
1978,119
1979,86.6
1980,126.4
1981,138
1982,104.2
1983,108.4
1984,72
1985,104.6
1986,88
1987,115
1988,66
1989,133
1990,117
1991,98
1992,94.5
1993,104
1994,89.5
1995,92
1996,82
1997,120.8
1998,98.9
1999,79.9
2000,122.9
2001,93.1
2002,123.3
2003,93.5
2004,90.5
2005,147.2
2006,123.5
2007,58.1
2008,141
2009,118.7
2010,117.1
2011,147.7
2012,71.7
2013,70.8
2014,80
2015,102.3
2016,93.1
2017,46.9
2018,58.7
2019,83.9
