UF,PI
Cidade,BATALHA
Nome Posto,BATALHA
Latitude,-4.333333333333333
Longitude,-42.083333333333336
Codigo,442001
Qtd. Anos,78
Ano,Maxima
1912,31.3
1913,82.7
1914,63.1
1915,61.7
1916,73.2
1917,68.2
1918,66.7
1919,65
1920,67.5
1921,65
1922,78
1923,62.2
1924,75.5
1925,60.2
1926,66.5
1927,66.5
1928,67
1929,65
1930,67.3
1931,67.6
1932,97.4
1933,66.3
1934,65.6
1937,85
1938,70.5
1939,55.5
1940,83
1941,78.5
1942,59.5
1943,76.5
1944,79
1945,75.5
1946,64.6
1947,63.5
1948,68.5
1949,62.4
1950,60.1
1962,48.5
1963,155.4
1964,114.5
1965,89.4
1966,112.4
1967,117.2
1968,108.1
1969,59.8
1970,71.6
1971,116.1
1972,145.1
1973,141.6
1974,145.2
1975,74.9
1976,72.1
1977,93.4
1978,124.6
1979,99.6
1980,119.2
1981,52.1
1982,64.2
1983,122.7
1984,76.3
1985,103.8
1986,133.1
1987,96.1
1988,82.1
1989,78
1990,69.4
1991,117.9
1992,78.7
1993,115
1994,72
1995,82.2
1996,90.5
1997,85
1998,68
1999,114
2000,90
2001,93
2002,133
