UF,PI
Cidade,PALMEIRAIS
Nome Posto,FAZENDA VENEZA
Latitude,-5.572777777777778
Longitude,-43.024166666666666
Codigo,543009
Qtd. Anos,58
Ano,Maxima
1962,89.2
1963,72.4
1964,94.6
1965,93.2
1966,92
1967,97
1968,108
1969,55.4
1970,100.5
1971,84.4
1972,89
1973,73.5
1974,139
1975,73.9
1976,86.9
1977,96.3
1978,106.8
1979,91.3
1980,109.6
1981,108.9
1982,82.6
1983,95.1
1984,60.2
1985,95.5
1986,95.2
1987,119.8
1988,83.7
1989,144.8
1990,71.6
1991,91.5
1992,131.8
1993,85
1994,108.2
1995,80.3
1996,94.3
1997,150.2
1998,77.3
1999,89.6
2000,100.5
2001,62.9
2002,105.5
2003,98.7
2004,115.4
2005,108.2
2006,167.5
2007,145.3
2008,83.2
2009,109.5
2010,64.9
2011,131.5
2012,60.9
2013,82.1
2014,81.3
2015,60.3
2016,117.4
2017,90.3
2018,82
2019,62.5
