UF,PI
Cidade,OEIRAS
Nome Posto,OEIRAS
Latitude,-7.016666666666667
Longitude,-42.13333333333333
Codigo,742002
Qtd. Anos,74
Ano,Maxima
1913,74.8
1914,39
1915,55.7
1916,68
1921,77.3
1922,69.5
1923,58.6
1930,53.3
1932,53.8
1933,91.4
1934,79.2
1935,70.3
1936,106.5
1937,83.7
1938,100.4
1939,81.3
1940,63.4
1941,70.9
1942,70.4
1943,107.7
1944,65
1945,72.5
1946,64.5
1947,59
1948,51
1949,63.3
1950,68.9
1951,57.6
1952,65
1953,67
1954,65.2
1955,60.2
1956,80.7
1957,66.6
1958,65.2
1959,67
1960,105.6
1961,60
1962,97.6
1963,64.4
1964,96.6
1965,49.8
1966,96.2
1967,58.5
1968,72.2
1969,117.4
1970,46.2
1971,48.6
1972,53.8
1973,102
1974,96.2
1975,66.4
1976,95
1977,80.7
1978,145.4
1979,71
1980,106
1981,83.6
1982,64.8
1983,64.4
1984,87
1985,80
1986,67.4
1987,53.2
1988,74
1989,107.4
1990,57.8
1991,53.5
1996,30.8
1997,72.4
1998,51.2
1999,69.4
2000,65
2001,28.8
