UF,PI
Cidade,PRATA DO PIAUI
Nome Posto,PRATA DO PIAUI
Latitude,-5.6675
Longitude,-42.20611111111111
Codigo,542008
Qtd. Anos,58
Ano,Maxima
1962,91.2
1963,68
1964,92.4
1965,95.8
1966,68.4
1967,84.5
1968,89.5
1969,93.6
1970,92.2
1971,67.2
1972,84.5
1973,93.7
1974,108.5
1975,84.2
1976,43.2
1977,90.2
1978,66.2
1979,67.2
1980,91.3
1981,66.3
1982,43.3
1983,58.3
1984,66.4
1985,108
1986,82.3
1987,75.7
1988,108.5
1989,98.3
1990,88.2
1991,111.8
1992,116.2
1993,51.5
1994,124
1995,94.8
1996,76.6
1997,137.7
1998,58.5
1999,80.5
2000,63.5
2001,48.6
2002,108.3
2003,99.5
2004,75.4
2005,82.5
2006,125.5
2007,61.7
2008,81.6
2009,132.8
2010,74
2011,74.5
2012,61.6
2013,70.4
2014,69.9
2015,53.9
2016,154.2
2017,79.3
2018,151
2019,102.2
