UF,PI
Cidade,JAICOS
Nome Posto,JAICOS
Latitude,-7.366666666666666
Longitude,-41.13333333333333
Codigo,741004
Qtd. Anos,71
Ano,Maxima
1912,25.2
1913,66.4
1914,66.2
1915,65.6
1916,64.3
1917,51
1918,90.8
1919,143
1920,60
1921,87
1922,54.5
1923,70.7
1924,114
1925,68.7
1926,105.3
1927,74.3
1928,74.5
1929,64.5
1930,89.5
1938,8.5
1948,116.5
1949,50.3
1950,56.7
1952,51.2
1953,58.2
1954,176.6
1957,85.8
1959,69.6
1960,100
1961,107
1962,69
1963,48.2
1964,48.7
1965,89
1966,55.1
1967,121.2
1968,60.1
1969,52.4
1970,50.1
1971,50.1
1972,80
1973,62
1974,71.6
1975,45
1976,153.8
1977,78.4
1978,94
1979,86.1
1980,62
1981,72.3
1982,88
1983,48
1984,86.8
1985,61
1986,75
1987,90
1988,78.4
1989,81.5
1990,44.6
1991,53.2
1992,73
1993,39
1994,120
1995,50
1996,55
1997,80
1998,58.4
1999,69.7
2000,31.4
2001,78.8
2002,69.4
