UF,PI
Cidade,VALENCA DO PIAUI
Nome Posto,VALENCA DO PIAUI
Latitude,-6.4
Longitude,-41.75
Codigo,641010
Qtd. Anos,50
Ano,Maxima
1938,31.2
1942,50
1943,48
1948,40.8
1949,60.1
1952,40.8
1953,40.5
1954,40.2
1955,40.8
1957,50.5
1962,35
1963,111
1964,71.4
1965,71.3
1966,94.6
1967,47.8
1968,87.6
1969,93.2
1970,82
1971,75.4
1972,60.2
1973,120
1974,126.1
1975,52.6
1976,60
1977,65.7
1978,75.3
1979,64.8
1980,79.2
1981,72.2
1982,71.6
1983,50.6
1984,73
1985,86
1986,86.3
1987,132.6
1988,91.4
1989,92.8
1991,51
1992,126
1993,58
1994,61
1995,101
1996,80
1997,50
1998,105
1999,71
2000,72
2001,58
2002,34
