UF,PI
Cidade,SAO RAIMUNDO NONATO
Nome Posto,SAO RAIMUNDO NONATO
Latitude,-9.016666666666667
Longitude,-42.68333333333333
Codigo,942005
Qtd. Anos,84
Ano,Maxima
1910,39.7
1911,80.3
1912,65
1913,63.5
1914,72.6
1915,61.1
1916,85
1917,37.4
1918,78.6
1919,95.9
1920,96
1921,78.6
1922,63.3
1923,42.6
1924,66
1925,201
1926,88.5
1927,60.3
1928,152.7
1929,97.4
1930,66.6
1938,29.6
1948,67.8
1949,76.2
1952,99
1953,47
1954,60
1959,77
1960,100
1961,40
1962,70
1963,88.2
1964,86
1965,103.5
1966,69.5
1967,69
1968,95.5
1969,98
1970,54
1971,66
1972,78
1973,68.5
1974,78.5
1975,85
1976,85.5
1977,90
1978,126.3
1979,82.5
1980,109.8
1981,43
1982,68
1983,8
1985,59
1986,69
1987,79
1988,43.2
1989,55
1991,130
1992,120
1993,85
1994,90
1995,90
1996,92
1997,118
1998,60
1999,97
2000,92
2001,32
2004,60.8
2005,40
2006,50.9
2007,38.2
2008,66.2
2009,82.2
2010,122.2
2011,57.3
2012,19.9
2013,77
2014,92.3
2015,48.8
2016,63.5
2017,88
2018,59.2
2019,156.7
