UF,PI
Cidade,PIRIPIRI
Nome Posto,PIRIPIRI
Latitude,-4.283333333333333
Longitude,-41.78333333333333
Codigo,441006
Qtd. Anos,86
Ano,Maxima
1913,66.6
1914,49.1
1915,86
1916,75
1917,72
1918,82.3
1919,79.3
1920,90
1921,89.3
1922,82
1923,81.2
1924,94
1925,77.3
1926,74.2
1927,80
1928,60.8
1929,87.3
1930,63
1931,62
1933,61.1
1934,27.4
1936,86.2
1937,28.5
1938,30.3
1939,24.3
1940,65.3
1941,52
1942,50
1943,67
1944,70
1945,92.5
1946,66
1947,65
1948,62
1949,61
1950,63
1951,50
1952,71
1953,51.5
1954,67
1955,78
1956,78.3
1957,156.9
1958,82.4
1959,79.2
1960,70
1961,90.2
1962,107.2
1963,81
1964,88.3
1965,102.2
1966,74.1
1967,133.6
1968,87.4
1969,80.2
1970,126.1
1971,89.1
1972,72.1
1973,129.6
1974,129.1
1975,82.7
1976,63.3
1977,46.8
1978,79.4
1979,65.9
1980,71.4
1981,81.8
1982,62.5
1983,62.5
1984,71.8
1985,85.8
1986,72.2
1987,61.6
1988,125.2
1989,30.9
1992,61
1993,98
1994,72
1995,82
1996,92
1997,110
1998,80
1999,63
2000,107
2001,60
2002,129
