UF,PI
Cidade,PIRACURUCA
Nome Posto,TINGUIS
Latitude,-3.7233333333333336
Longitude,-41.97555555555556
Codigo,341027
Qtd. Anos,37
Ano,Maxima
1983,45.6
1984,93.3
1985,104.8
1986,85.6
1987,79.4
1988,121.9
1989,107.7
1990,54.6
1991,86
1992,68.2
1993,117.1
1994,92.2
1995,57.4
1996,121.2
1997,102.6
1998,59.8
1999,155.8
2000,120
2001,66.9
2002,127.2
2003,136.8
2004,109.8
2005,736
2006,107.6
2007,54.2
2008,87.5
2009,94.7
2010,67.4
2011,87.1
2012,44.7
2013,56.5
2014,88.7
2015,170.7
2016,42.4
2017,60.1
2018,104.3
2019,47.2
