UF,PI
Cidade,FRANCISCO AYRES
Nome Posto,FRANCISCO AYRES
Latitude,-6.618333333333334
Longitude,-42.693888888888885
Codigo,742012
Qtd. Anos,36
Ano,Maxima
1984,60
1985,97.1
1986,83.6
1987,79.2
1988,74.6
1989,110.2
1990,73.6
1991,83.3
1992,51.3
1993,65.4
1994,91.6
1995,87.4
1996,68.7
1997,64.7
1998,52.3
1999,82.7
2000,56.4
2001,44.5
2002,74.8
2003,72.4
2004,172
2005,73.7
2006,73.5
2007,53.4
2008,117.1
2009,94
2010,74.7
2011,137.8
2012,80.2
2013,46.2
2014,108.5
2015,45.1
2016,44.6
2017,44.3
2018,106.4
2019,42.5
