UF,PI
Cidade,RIBEIRO GONCALVES
Nome Posto,RIBEIRO GONCALVES
Latitude,-7.557222222222222
Longitude,-45.24444444444445
Codigo,745003
Qtd. Anos,58
Ano,Maxima
1962,75.2
1963,73.1
1964,73
1965,70
1966,104.3
1967,61.8
1968,104
1969,73
1970,181.4
1971,70.2
1972,68.8
1973,50
1974,68
1975,112
1976,45.5
1977,80.5
1978,125
1979,140
1980,93
1981,66
1982,80
1983,102
1984,67
1985,124.6
1986,134
1987,54
1988,92.4
1989,70.6
1990,68
1991,79
1992,100.7
1993,57.1
1994,48.3
1995,97.8
1996,86.2
1997,92.6
1998,64.3
1999,87.1
2000,140.6
2001,49.4
2002,68
2003,124
2004,60
2005,134.7
2006,70.7
2007,82.3
2008,72.9
2009,92.5
2010,99
2011,77.4
2012,63.8
2013,154.5
2014,102.5
2015,68.3
2016,125.7
2017,56.3
2018,64.3
2019,90.2
