UF,PI
Cidade,ITAINOPOLIS
Nome Posto,ITAINOPOLIS
Latitude,-7.449722222222222
Longitude,-41.4775
Codigo,741003
Qtd. Anos,58
Ano,Maxima
1962,32.4
1963,55.6
1964,54.8
1965,68.6
1966,93.1
1967,74
1968,37.3
1969,49
1970,45.3
1971,68.4
1972,97
1973,85.2
1974,90.2
1975,40.6
1976,88
1977,70.5
1978,137
1979,120
1980,54
1981,66.2
1982,110
1983,53.3
1984,117
1985,94.6
1986,77.2
1987,130
1988,60
1989,88
1990,84
1991,66
1992,93
1993,70.4
1994,84
1995,74.8
1996,54.5
1997,90.3
1998,51.5
1999,55.4
2000,89.2
2001,73.1
2002,56.1
2003,85.2
2004,185.6
2005,80
2006,65
2007,86
2008,64.2
2009,60
2010,60
2011,65.1
2012,47.4
2013,86.7
2014,50
2015,61.3
2016,66
2017,89
2018,74.4
2019,54
