UF,PI
Cidade,ESPERANTINA
Nome Posto,ESPERANTINA
Latitude,-3.9033333333333333
Longitude,-42.22944444444445
Codigo,342002
Qtd. Anos,58
Ano,Maxima
1962,73
1963,93
1964,87.1
1965,83
1966,90.4
1967,78.9
1968,109.3
1969,72.6
1970,144.1
1971,148
1972,98.9
1973,86.5
1974,75
1975,88.6
1976,116
1977,91
1978,147
1979,72.2
1980,75.2
1981,114.4
1982,94.2
1983,64.4
1984,100.2
1985,78.5
1986,86.2
1987,126
1988,85.4
1989,80
1990,65.7
1991,82.6
1992,101.8
1993,103.2
1994,75
1995,68.3
1996,89.5
1997,72.2
1998,64.5
1999,138.3
2000,59.2
2001,80.5
2002,105.8
2003,118.7
2004,95.2
2005,104.5
2006,68.3
2007,65.5
2008,88.4
2009,105.2
2010,98.7
2011,115.5
2012,47.2
2013,78.7
2014,68.9
2015,71
2016,67.6
2017,103.5
2018,76.3
2019,94.3
