UF,PI
Cidade,PIO IX
Nome Posto,PIO IX
Latitude,-6.833333333333333
Longitude,-40.61666666666667
Codigo,640000
Qtd. Anos,76
Ano,Maxima
1912,52
1913,52
1914,89.3
1915,68
1916,65.4
1917,86.3
1918,35.4
1919,87.3
1920,63
1921,56.2
1922,67.5
1923,80.7
1924,58.7
1925,59
1926,63.5
1927,55.6
1928,62.1
1929,62.1
1930,65.7
1931,46.2
1933,61.4
1934,62.6
1935,63.7
1938,18.8
1943,67.5
1948,54.8
1949,39.3
1950,61.1
1952,58.2
1953,32
1954,67.3
1955,40.4
1957,95
1959,90
1960,136
1961,92
1962,80
1963,80.4
1964,62.4
1965,45.8
1966,120.8
1967,95.8
1968,85.7
1969,192.7
1970,72.6
1971,65.8
1972,63.5
1973,95.8
1974,137.8
1975,61.8
1976,48.6
1977,67.8
1978,37.8
1979,125.8
1980,45.8
1981,175.8
1982,65.8
1983,145.8
1984,77.8
1985,67.1
1986,65.8
1987,92.8
1988,65.8
1989,78.6
1991,13.8
1992,150
1993,64
1994,96
1995,62
1996,37.5
1997,101
1998,72.4
1999,38.6
2000,55
2001,19
2002,130
