UF,PI
Cidade,SAO JOAO DO PIAUI
Nome Posto,SAO JOAO DO PIAUI
Latitude,-8.366666666666667
Longitude,-42.25
Codigo,842007
Qtd. Anos,84
Ano,Maxima
1910,64
1911,50
1912,56
1913,66.9
1914,68.5
1915,71.8
1916,67
1917,42.6
1918,56
1919,74
1920,66.1
1921,66
1922,50
1923,66
1924,53.1
1925,45
1926,69.5
1927,75.2
1928,67.5
1929,75.5
1930,53.3
1931,84
1932,57.7
1933,70.2
1934,230.2
1935,55.3
1936,71.4
1937,62
1938,52.4
1939,71
1940,54
1948,62
1949,76
1950,64
1952,48
1953,45
1954,134
1959,6.2
1960,10.4
1961,25
1962,86
1963,120
1964,91
1965,82
1966,110
1967,123
1968,80.2
1969,82
1970,100.8
1971,63.2
1972,66.3
1973,72
1974,75.8
1975,63
1976,82
1977,78.2
1978,57.2
1979,58.9
1980,114.1
1981,100.8
1982,61
1983,35.4
1984,104.6
1985,74.4
1986,74.2
1987,114
1988,105
1989,20.8
2004,80.7
2005,60.8
2006,51.4
2007,97
2008,102.1
2009,105
2010,71.4
2011,91.8
2012,34.3
2013,71.6
2014,202.4
2015,34.7
2016,52.5
2017,150.2
2018,95.4
2019,44.6
