UF,PI
Cidade,BARRAS
Nome Posto,BARRAS
Latitude,-4.25
Longitude,-42.3
Codigo,442000
Qtd. Anos,82
Ano,Maxima
1912,40
1913,65
1914,67.4
1915,66.5
1916,65
1917,73.5
1918,65.4
1919,62.2
1920,66.5
1921,115
1922,67.8
1923,74.8
1925,65
1926,69.8
1927,69.8
1928,40.8
1929,56.4
1930,59.3
1931,62.5
1932,56.8
1933,57.5
1934,61.6
1935,64.6
1936,63.4
1937,59.9
1938,55.5
1939,51.9
1940,78.2
1941,170.4
1942,45.2
1943,42.9
1948,65.5
1949,40
1950,49.3
1952,91.2
1953,67.5
1954,73.3
1955,98
1958,88.5
1959,61.6
1960,106
1961,84.8
1962,101
1963,142
1964,152
1965,67
1966,110.5
1967,101.4
1968,184.9
1969,115.7
1970,103.8
1971,104.6
1972,95
1973,88.9
1974,102.6
1975,115
1976,88.6
1977,96.1
1978,58.1
1979,60.8
1980,140.6
1981,90.6
1982,85.5
1983,102.8
1984,80.4
1985,122.2
1986,98.6
1987,91.4
1988,82.4
1989,95
1991,92.3
1992,102.2
1993,79.8
1994,110
1995,125
1996,80.4
1997,99.4
1998,89.4
1999,104
2000,96
2001,93.6
2002,77
