UF,PI
Cidade,LUZILANDIA
Nome Posto,LUZILANDIA
Latitude,-3.4622222222222225
Longitude,-42.373333333333335
Codigo,342007
Qtd. Anos,37
Ano,Maxima
1983,37.4
1984,84.7
1985,80.6
1986,97.8
1987,88.3
1988,68
1989,118
1990,53
1991,103.4
1992,59
1993,78.5
1994,40.5
1995,71
1996,125.2
1997,187.2
1998,93.1
1999,71
2000,102.1
2001,80.9
2002,77
2003,130
2004,77.6
2005,136.6
2006,87.4
2007,70.1
2008,148.1
2009,79.9
2010,90.5
2011,107.4
2012,74.1
2013,71.1
2014,53.8
2015,93.1
2016,160.3
2017,61.8
2018,74.6
2019,57.8
