UF,PI
Cidade,CARACOL
Nome Posto,ACUDE CARACOL
Latitude,-9.283333333333333
Longitude,-43.31666666666667
Codigo,943000
Qtd. Anos,41
Ano,Maxima
1914,63
1915,55.3
1916,40.5
1962,54
1963,57.2
1964,68
1965,103
1966,100
1967,67.4
1968,75.3
1969,74.3
1970,107.4
1971,47.3
1972,88
1973,94.3
1974,66.2
1975,62.4
1976,69.4
1977,116.8
1978,109.6
1979,100.2
1980,86.8
1981,51
1982,57.5
1983,78.3
1984,44.2
1985,76.7
1986,37.4
1987,6
1988,59
1991,173.1
1992,85.4
1993,80
1994,92
1995,90.8
1996,87
1997,93
1998,28
1999,46
2000,61
2001,38.4
