UF,PI
Cidade,PEDRO II
Nome Posto,PEDRO II
Latitude,-4.416666666666667
Longitude,-41.46666666666667
Codigo,441005
Qtd. Anos,87
Ano,Maxima
1912,39
1913,75.4
1914,58.3
1915,63
1916,68.2
1917,69.5
1918,52.3
1919,63.8
1920,84.7
1921,75.2
1922,81.5
1923,75.3
1924,93.2
1925,58.2
1926,70.9
1927,67.2
1928,75.2
1929,77.2
1930,68.2
1931,70.1
1932,40.2
1933,90
1934,58.8
1935,74.6
1936,54
1938,94.5
1939,125
1940,222
1941,90
1942,37
1943,82
1944,68
1945,57
1946,60.4
1947,48.1
1948,52
1949,67
1950,77
1951,45.4
1952,46
1953,41
1954,68.2
1955,87.8
1956,87.6
1957,73.2
1959,83.2
1960,166.7
1961,80
1962,72.4
1963,91.3
1964,85.6
1965,105.5
1966,98.5
1967,120.4
1968,75.2
1969,75.6
1970,75.5
1971,106.2
1972,82.2
1973,154.2
1974,117.4
1975,81.4
1976,93.5
1977,86.2
1978,69.4
1979,72
1980,63.3
1981,145.3
1982,70.8
1983,78.6
1984,79.3
1985,124.6
1986,103.4
1987,73.6
1988,94.3
1989,75.2
1992,115
1993,85
1994,72.5
1995,82.5
1996,75
1997,72.5
1998,56
1999,117.5
2000,75
2001,60
2002,120
