UF,PI
Cidade,CRISTINO CASTRO
Nome Posto,CRISTINO CASTRO II
Latitude,-8.813055555555556
Longitude,-44.21555555555556
Codigo,844008
Qtd. Anos,58
Ano,Maxima
1962,31.8
1963,72.2
1964,110
1965,80
1966,90.2
1967,184.6
1968,186.4
1969,126.2
1970,228.6
1971,375.2
1972,27
1973,129.8
1974,75.8
1975,75.8
1976,80.8
1977,124.8
1978,125.8
1979,183.8
1980,68.8
1981,108.8
1982,87.4
1983,56.6
1984,74.4
1985,100
1986,48.4
1987,95.4
1988,81.8
1989,145
1990,49.2
1991,74.6
1992,69.4
1993,81.4
1994,65.9
1995,81.2
1996,56
1997,117.6
1998,63
1999,98.8
2000,53
2001,60.1
2002,82.7
2003,60
2004,120
2005,80.7
2006,71
2007,54
2008,70.5
2009,48.9
2010,116.5
2011,69.5
2012,42.5
2013,52.8
2014,123.2
2015,63.1
2016,59.1
2017,90.5
2018,64.1
2019,55.2
