UF,PI
Cidade,TERESINA
Nome Posto,TERESINA
Latitude,-5.083333333333333
Longitude,-42.81666666666667
Codigo,542011
Qtd. Anos,88
Ano,Maxima
1920,48.2
1921,56
1922,93
1923,78
1924,105
1925,71.5
1926,72.4
1927,63.8
1928,63.4
1929,68
1930,63.6
1931,63.2
1932,63.7
1933,79.7
1934,82
1935,96.5
1936,87.4
1937,80.9
1938,66.2
1939,106
1940,89.5
1941,84.9
1942,67.8
1943,69.6
1944,86.6
1945,93.8
1946,90.9
1947,106.6
1948,60.8
1949,113.1
1950,178.9
1951,150
1952,120.5
1953,98
1954,68.2
1955,63.5
1956,74.8
1957,89.9
1958,84.5
1959,67.9
1960,65.7
1961,53.9
1962,64.2
1963,62.1
1964,116.4
1965,130.8
1966,138.2
1967,137.6
1968,106.6
1975,59.5
1976,56.7
1977,80
1978,105.4
1979,66.9
1980,57
1981,76.3
1982,70.9
1983,101.5
1984,105.3
1985,114.6
1990,37.5
1993,71.4
1994,81
1995,86.2
1996,87.4
1997,66.2
1998,84
1999,78.4
2000,79.6
2001,76.5
2002,68
2003,64.4
2004,125
2005,93
2006,90.2
2007,96
2008,91.2
2009,108
2010,51.4
2011,92.2
2012,88.2
2013,77.2
2014,96.4
2015,69.2
2016,45.4
2017,50.8
2018,127.8
2019,87.2
