UF,PI
Cidade,PAULISTANA
Nome Posto,PAULISTANA
Latitude,-8.133333333333333
Longitude,-41.15
Codigo,841005
Qtd. Anos,77
Ano,Maxima
1913,50
1914,82.6
1915,68.4
1916,69.9
1917,71.4
1918,56.8
1919,70.3
1920,68
1921,67.8
1922,37.2
1923,84.9
1924,64.1
1925,52.9
1926,68
1927,84.3
1928,75.3
1929,65.6
1930,113.8
1939,48.1
1940,66.6
1941,64.8
1942,67.2
1943,58.1
1944,66.9
1945,85.2
1946,43.3
1947,65
1948,36.3
1949,54.2
1950,67.2
1951,63.3
1952,56.5
1953,46.8
1954,56.2
1955,72.8
1956,37.6
1957,65.7
1958,42.6
1960,101.2
1961,55.3
1962,64.4
1963,62
1964,68
1965,60
1966,67
1967,68.6
1968,61.2
1969,100
1970,64.4
1971,69.2
1972,75.2
1973,120
1974,49.2
1975,43.2
1976,78.8
1977,76
1978,65.5
1979,137.7
1980,90.1
1981,71.9
1982,44
1983,71
1984,49.9
1985,72.4
1986,106
1987,56
1988,99.9
1992,108
1993,103
1994,52.6
1995,61.7
1996,58.2
1997,100
1998,47.8
1999,76
2001,32.1
2002,51.1
