UF,PI
Cidade,BARRAS
Nome Posto,FAZENDA ALEGRIA
Latitude,-4.41
Longitude,-42.195277777777775
Codigo,442005
Qtd. Anos,47
Ano,Maxima
1967,84.2
1968,80.8
1969,72.7
1970,69.8
1971,82
1972,140.2
1976,31.6
1977,109.8
1978,101.8
1979,83
1980,80
1984,83.6
1985,106.8
1986,77.2
1987,125
1988,74.4
1989,106.4
1990,81.2
1991,101.8
1992,77.6
1993,82
1994,117.8
1995,151.3
1996,127.1
1997,76
1998,74.3
1999,65.7
2000,59
2001,88.7
2002,63
2003,84.1
2004,84.3
2005,86.4
2006,93.9
2007,178.8
2008,135
2009,84.5
2010,131.4
2011,82.2
2012,36.4
2013,139.1
2014,73.2
2015,61.8
2016,80
2017,67
2018,70.5
2019,61.3
