UF,RO
Cidade,PORTO VELHO
Nome Posto,NOVA CALIFORNIA
Latitude,-9.755555555555556
Longitude,-66.61166666666666
Codigo,966000
Qtd. Anos,42
Ano,Maxima
1977,52
1978,79
1979,109
1980,74
1981,101
1982,95
1983,87.1
1984,89.2
1985,82.2
1986,150.8
1987,91.6
1988,95
1989,92.4
1990,46
1991,81
1992,85
1993,190
1994,100
1995,132
1996,84
1997,99.2
1998,87
1999,98
2000,105.1
2001,84.5
2002,99.3
2003,140
2004,93.3
2005,97.5
2006,76.5
2007,99.8
2008,86.6
2009,105.4
2010,105
2011,163.8
2012,142.4
2013,171.5
2014,92.1
2015,121.8
2016,103
2017,100
2018,78.5
