UF,RO
Cidade,ARIQUEMES
Nome Posto,ARIQUEMES
Latitude,-9.931666666666667
Longitude,-63.05694444444444
Codigo,963000
Qtd. Anos,46
Ano,Maxima
1975,110.2
1976,110.6
1977,143
1978,115.3
1979,135.3
1980,75.1
1981,83.2
1982,145.3
1983,135
1984,148
1985,66
1986,108.4
1987,96.3
1988,129
1989,102.4
1990,201.2
1991,151
1992,100.2
1993,80.8
1994,84.6
1995,86.2
1996,114.2
1997,83.2
1998,117.4
1999,112.8
2000,150
2001,102.4
2002,96.6
2003,144.5
2004,79.1
2005,151.8
2006,113.2
2007,77.5
2008,63.5
2009,187.2
2010,100.8
2011,96.8
2012,88.2
2013,88.2
2014,96.4
2015,113.6
2016,95.3
2017,121.6
2018,113.9
2019,408
2020,88.5
