UF,RO
Cidade,PORTO VELHO
Nome Posto,SANTO ANTONIO BR-364
Latitude,-9.260555555555555
Longitude,-63.161944444444444
Codigo,963001
Qtd. Anos,43
Ano,Maxima
1977,70
1978,150.2
1979,110.4
1980,111.8
1981,111
1982,112.3
1983,90
1984,185
1985,96.2
1986,88.2
1987,72.6
1988,116.8
1989,86.4
1990,120
1991,93.2
1992,103
1993,106
1994,112
1995,87.6
1996,100.4
1997,90.4
1998,130.4
1999,95
2000,105.4
2001,65.8
2002,105.3
2003,144.3
2004,103.7
2005,85
2006,110
2007,86.6
2008,79.9
2009,134.1
2010,103.6
2011,107.2
2012,92.4
2013,120.2
2014,97.3
2015,116.6
2016,118.3
2017,89.7
2018,107.1
2019,68.3
