UF,RO
Cidade,PORTO VELHO
Nome Posto,PEDREIRAS
Latitude,-9.690277777777778
Longitude,-65.99305555555556
Codigo,966001
Qtd. Anos,37
Ano,Maxima
1982,70.2
1983,60.3
1984,75
1985,85.4
1986,100
1987,90.2
1988,101.2
1989,100
1990,50
1991,80
1992,78
1993,80.9
1994,62.1
1995,80.5
1996,85.9
1997,89.3
1998,97.7
1999,73.7
2000,60.8
2001,52.2
2002,50.5
2003,51.9
2004,30.1
2005,65.8
2007,60
2008,93.5
2009,94.3
2010,78.8
2011,100
2012,78.2
2013,100.1
2014,139.3
2015,54.6
2016,30
2017,66
2018,82.5
2019,66.5
