UF,RO
Cidade,MACHADINHO D'OESTE
Nome Posto,TABAJARA
Latitude,-8.932222222222222
Longitude,-62.05555555555555
Codigo,862000
Qtd. Anos,44
Ano,Maxima
1977,47.4
1978,67.8
1979,92.2
1980,118.3
1981,137.8
1982,76.2
1983,84.5
1984,108.3
1985,68.6
1986,84.2
1987,107.8
1988,109.6
1989,109.7
1990,64.2
1991,40.8
1992,60.8
1993,111.4
1994,84.7
1995,71.5
1996,83.9
1997,83.5
1998,88.1
1999,106
2000,90.6
2001,96.3
2002,99.1
2003,89.2
2004,69.9
2005,96.4
2006,81.1
2007,82.7
2008,110
2009,80.6
2010,91.8
2011,118.2
2012,100
2013,114.8
2014,147
2015,84.2
2016,110
2017,74.9
2018,120.8
2019,129
2020,70
